PROV;CANT;TOTAL
ALAJUELA; ALAJUELA;6465
ALAJUELA; ATENAS;508
ALAJUELA; GRECIA;1825
ALAJUELA; GUATUSO;681
ALAJUELA; LOS CHILES;1360
ALAJUELA; NARANJO;639
ALAJUELA; OROTINA;692
ALAJUELA; PALMARES;510
ALAJUELA; POAS;617
ALAJUELA; RIO CUARTO;23
ALAJUELA; RIO SEGUNDO;3
ALAJUELA; SAN CARLOS;5863
ALAJUELA; SAN MATEO;142
ALAJUELA; SAN RAMON;1619
ALAJUELA; UPALA;1564
ALAJUELA; VALVERDE VEGA;279
ALAJUELA; ZARCERO;141
CARTAGO; ALVARADO;122
CARTAGO; CARTAGO;2009
CARTAGO; EL GUARCO;864
CARTAGO; JIMENEZ;236
CARTAGO; LA UNION;1442
CARTAGO; OREAMUNO;561
CARTAGO; PARAISO;770
CARTAGO; TURRIALBA;1064
GUANACASTE; ABANGARES;630
GUANACASTE; BAGACES;332
GUANACASTE; CAÑAS;1103
GUANACASTE; CARRILLO;385
GUANACASTE; HOJANCHA;124
GUANACASTE; LA CRUZ;600
GUANACASTE; LIBERIA;1433
GUANACASTE; NANDAYURE;228
GUANACASTE; NICOYA;708
GUANACASTE; SANTA CRUZ;475
GUANACASTE; TILARAN;566
HEREDIA; BARVA;659
HEREDIA; BELEN;324
HEREDIA; FLORES;346
HEREDIA; HEREDIA;2170
HEREDIA; SAN ISIDRO;443
HEREDIA; SAN PABLO;412
HEREDIA; SAN RAFAEL;801
HEREDIA; SANTA BARBARA;599
HEREDIA; SANTO DOMINGO;912
HEREDIA; SARAPIQUI;2428
LIMON; GUACIMO;1809
LIMON; LIMON;1489
LIMON; MATINA;910
LIMON; POCOCI;4201
LIMON; SIQUIRRES;2396
LIMON; TALAMANCA;458
PUNTARENAS; BUENOS AIRES;1373
PUNTARENAS; CORREDORES;1789
PUNTARENAS; COTO BRUS;1207
PUNTARENAS; ESPARZA;1082
PUNTARENAS; GARABITO;992
PUNTARENAS; GOLFITO;1718
PUNTARENAS; MONTES DE ORO;426
PUNTARENAS; OSA;1454
PUNTARENAS; PARRITA;1628
PUNTARENAS; PUNTARENAS;3422
PUNTARENAS; QUEPOS;1829
SAN JOSE; ACOSTA;633
SAN JOSE; ALAJUELITA;1496
SAN JOSE; ASERRI;1264
SAN JOSE; CURRIDABAT;926
SAN JOSE; DESAMPARADOS;3583
SAN JOSE; DOTA;129
SAN JOSE; ESCAZU;675
SAN JOSE; GOICOECHEA;2673
SAN JOSE; LEON CORTES;236
SAN JOSE; MONTES DE OCA;581
SAN JOSE; MORA;637
SAN JOSE; MORAVIA;899
SAN JOSE; PEREZ ZELEDON;2830
SAN JOSE; PURISCAL;1044
SAN JOSE; SAN JOSE;6387
SAN JOSE; SANTA ANA;662
SAN JOSE; TARRAZU;328
SAN JOSE; TIBAS;1329
SAN JOSE; TURRUBARES;207
SAN JOSE; VAZQUEZ DE CORONADO;2111
